listing_id,id,date,reviewer_id,reviewer_name,comments
4676926,167360165,2017-07-06,77260499,John,"Location is excellent - right next to the tube. Really spacious, clean and well appointed. Great to have Starbucks right across the road for breakfast. Excellent communication from Lisa!"
24872072,486350034,2019-07-12,114138829,Adrian,"Great location. Very friendly and helpful host. Very basic B&B. Very clean. No kitchen faciities for breakfast which I hadn't realised and the shower room which is tiny is across the hall, not en-suite, which again I hadn't realised. There is a lovely Italian restaurant and a nice chilled pub just a short walk away and the old docks are very interesting."
3797424,50981183,2015-10-16,43085856,Dan,The Notting Hill flat was fantastic and in a really great location. Very comfortable and Warren was an excellent host. Would love to stay again. Thanks you
590373,4188796,2013-04-16,5813393,Elisa,Gabriella is a very nice host and her flat is very functional and well located in Shoreditch Area !<br/>We had a very pleasant stay !
6606418,277994564,2018-06-17,142576365,Emmanuel,Appartement très sympa et cosy à 2 pas des transports dans un quartier très calme. Tout était parfait. On s'est senti comme à la maison. <br/><br/>
15757097,483813057630265720,2021-10-29,146197146,Caz,Lovely little family friendly flat in an excellent location. Parking space too. Great communication from the host. Good for families wanting to spend a few days in and around London.
8259664,113869037,2016-11-14,49575237,Esteban,"No salia agua caliente de la ducha! La zona no es muy linda, si bien esta a 20 minutos caminando del Tower Bridge"
21713645,453649161,2019-05-16,7860200,Rafa,"El apartamento es pequeño pero con lo suficiente para llegar de un día entero en Londres y dormir. <br/>Tiene sofa-cama que no es muy cómodo.<br/>La ducha no funcionaba correctamente, o el agua salía fría o muy caliente y tenías q ir jugando para que te saliera tibia.<br/>La ubicación muy buena, a sólo 3 min andando de la estación de metro de Hammersmith que tiene conexión con 3 líneas del metro de Londres. A unos 20-25 min de picadilly circus. <br/>Los anfitriones muy amables que aunque no estaban en Londres en ese momento se preocuparon de que todo nos fuera bien."
1978773,62635333,2016-02-15,16461462,Colette,"Perfectly as described. Super well located. Clean, easy and comfortable! Would highly recommend "
33726396,551407120,2019-10-20,5772533,Esmerelda,Beautiful apartment in a great location. Everything was perfect and I would stay here again with hesitation.
