listing_id,id,date,reviewer_id,reviewer_name,comments
21704321,611933808,2020-02-28,1940771,Rachel,"Booked this last minute and late & her family were great, very warm & welcoming, wouldn’t hesitate to stay here again. Great, hospitality house & location! Thank you"
18767046,427779460,2019-03-24,209327954,Kevin,"Ideal location for central London, clean and everything as described , no dramas<br/>Would return  if we were looking to stay in Kensington"
24254702,278946508,2018-06-19,122896932,Jennifer,Great clean quiet flat
1517086,476903703,2019-06-27,269304396,Hannelore,"Leider hatten wir Pech mit der Wohnung, da Schimmelflecken und Schimmelgeruch als auch eine gewisse Unsauberkeit ( Haare und Flecken) uns zwangen auf Hotelzimmer auszuweichen und wir nun die teure Wohnung als auch 3 Hotelzimmer zu zahlen hatten. Mit der Gastgeberin war leider nicht zu reden, sie war zu keiner Kulanz bereit, sogar die Reinigungskosten wurden nicht rückerstattet. Insgesamt keine gute Erfahrung, denn wir hatten viel Stress und hohe Ausgaben."
19776668,232770402,2018-02-06,41555669,Emily,"This was our second stay at Ingrid's apartment and we enjoyed it thoroughly again. The place is spotless, in a good location and everything you need is provided. Ingrid is friendly, helpful and really easy to communicate with. We'll stay again!"
5300840,318759635,2018-09-04,19143618,Nina,"I had a wonderful stay, sadly only one night, which was quiet, comfortable and had everything I needed. James was prompt in his communication, and a super friendly host who's great to have a chat with. Hoping to stay again in the future!"
15161649,344760380,2018-11-04,59556089,Jeremy,"Alan is a great host and makes you feel right at home. my friend was really hungover in the morning and left later than the check out time and Alan wasn't bad about it. would recommend the place, it's simple and somewhere to rest your head."
14629205,278643997,2018-06-18,28769602,T-Hom,"My third stay in London, this was one of my favorite spots. Highly recommended."
2659707,420990110,2019-03-08,238100735,Maik,"This was my first stay with airbnb ever and definitely not my last. <br/><br/>Katherine and Craig are really nice and helpful with all issues we had! <br/>Also their cat „sausage“ is very lovely :)<br/><br/>The accomodation is perfect when you want to have a city trip to London. <br/>It does not take too long into the centre. <br/>Also, you can have a nice breakfast every morning before you leave to the sights. <br/>The room has everything in it what you need and even more. <br/>There is wifi available and you could play xbox or watch tv and netflix if you feel like. <br/><br/>In total, it was a very good experience!!!"
6982659,73500113,2016-05-08,68389216,Thomas,We loved the room and everything was provided. A Lovely clean simple room with a nice en suite. Neighbourhood felt really quiet and safe and really close to tube. 
45491001,423682296682430450,2021-08-07,212749877,Kwesi,"Great price for place, was a little smaller than pictured but it did the job. Great communication and amenities!"
21294445,206014338,2017-10-23,107533752,Charlotte,The host canceled this reservation 3 days before arrival. This is an automated posting.
13905660,454994584,2019-05-19,109773599,Joanna,Our hen party weekend was fabulous but unfortunately the host did let us down with the property. We made the best of it as it was only for one night and didn't let it dampen our spirits.<br/><br/>The place needs a proper thorough clean and the beds do need looking in to - some were very nice but a lot of them we found far too uncomfortable to sleep on.<br/>All in all a good place to crash for a party but we wouldn't want to stay there for longer than one night.<br/><br/>It's a shame I am having to write this review as I have actually never left a bad review about  anything but I wanted to be honest.<br/><br/>The lady who met us for check in and out was fantastic though so thank you to her and for the bottle of prosecco!
18007955,149457983,2017-05-04,79127271,Sayo,Room as described.<br/>Coffee and biscuits. Very nice welcoming. Buses and shops very close. I would recommend this room as it's good value and our hostess and her son are really nice to meet.
11375998,510717094,2019-08-16,38585887,Olu,"Katy's home was the ideal place to host my family of 6 from Nigeria, everything was just as was described and as in the photos. It feels very homely, and spacious. Very quiet neighbourhood too with parks and amenities all within walking distance. Location was just perfect, if you want to take the bus or tube, Turnpike lane and Finsbury Park stations serving the Picadilly and Victoria lines are just a few stops away. Katy also is a great host, checking in every now and then to make sure we were alright and ready to provide anything we needed. Grateful to be have been entrusted with your home."
15465132,462571330,2019-06-02,260536389,Daniela,"we had a great time in this cottage in the suburbs, the neighborhood is adorable and well served by the means and everything you need for your stay. I personally met Elsa who was extremely available for our needs. I would go back again!"
29759917,473759455179386930,2021-10-15,164423901,Kim,Nice place and good access to Islington.
7183377,299693627,2018-07-31,12730875,Doug,"The one thing other reviews don't quite seem to capture is just how nice the back garden experience can be. Eleanor's windows slide away and give you complete access to the lush garden. It is nicely lit and is particularly lovely before the dawn or after the sun has set. The home is very comfortable and good for a family of four (although the bunk beds are best for kids who aren't too tall - and if your kids are very young, be aware that there are stairs that don't have a railing). One of our favorite things was the bedding in the master bedroom - four great pillows and a comfy duvet (kind of a rare find in our Airbnb experiences). Finally, as others have said, Eleanor was incredibly responsive and helpful."
15143351,328467512,2018-09-26,217096350,Gill,"A warm and welcoming family home. My room was spacious, with plenty of storage and a very comfortable bed. The tea and coffee facilities are a nice touch too. Excellent value and I would have no hesitation about booking again."
3196599,164987129,2017-06-30,56408234,Jenny,"Andy's place is SO convenient to everything in Clerkenwell/Farringdon.  Compared to most places in London, it's incredibly spacious!  You have a totally separate living room with two sofas, full kitchen and then spacious bedroom with dressers and a wardrobe.  <br/><br/>Being American, I was a little hesitant to stay somewhere without A/C but the temperature was perfect, even on hot days.  It's in a central location but also so quiet!  We slept with the windows open one night and it was almost silent, which is unheard of in the city.  <br/><br/>Great place that I would highly recommend and Andy is SO accommodating.  He was texting me from the minute I landed to coordinate my check in, which changed a few times and then was in touch throughout the stay to ensure we didn't need anything.  Highly recommended! "
310949,249959480,2018-04-03,166296269,Meg,"My husband and I arrived in London a snowy evening. It's Robert and Antonio cooked a nice dinner for us and gave us a very warm welcome. The house is clean and comfortabe, we do love the lake in front of the house. The shopping centres are about 10 minutes walk, we bought the food we liked and cooked our dinner most of the time. We stayed there for 16 nights. Though it took us a little bit long time to take the bus and train to the city centre and different towns nearby, we enjoyed the journey. We really appreciate the owners' help."
50362673,425083151538244883,2021-08-09,29472860,Heather,"This was a comfortable stay for our family of 3, including a 4 year old.  Plenty of room for us all, comfortable beds, and a surprisingly big back yard!  The place could use a bit more upkeep, but I think this is a new endeavor and those things will work themselves out over time.  Great communication, and easy check-in."
8728789,466593853,2019-06-09,100820604,Hannah J,The place was clean and just what we needed for a few nights in London.  Tom was helpful and let us check in early for a nap after our overnight bus. It's about a 10 minute walk to the Brixton tube station.  We really enjoyed our stay!
45795787,390372240374266451,2021-06-22,198663189,Misha,"The VUE IS INSANE! The place was clean and absolutely delightful!<br/><br/>Will and his team are awesome, professional and always on point.<br/><br/>Thank you for a beautiful stay will be returning soon!"
6996677,364314590,2018-12-30,20978443,Karine,"Vittoria répond facilement à toutes vos questions et son appartement est joli, très propre et bien situé. Très bon sejour chez vittoria"
14299729,97732193,2016-08-28,6738575,Katherine,Max and Billie were really flexible about picking the keys up and let us store our luggage in their office while we explored london for the day. The studio was exactly how it was on the photos and there were absolutely no surprises. Max and Billie even left us some welcome chocolates! We had a lovely time staying in this studio and the location is perfect for an authentic London experience. 
