,feature_names,feature_impt,std
4,room_type,0.22760180800386084,0.005283034102789123
0,host_total_listings_count,0.11061450257907277,0.0043918374979375055
5,accommodates,0.06724189893001369,0.002177528037286565
2,latitude,0.049974584841136725,0.002041531594627983
3,longitude,0.04865563921991893,0.001994988249304711
6,bedrooms,0.03379150248177239,0.0013682923539771977
22,bathroom_num,0.0320764703945462,0.00144503196407776
107,occ_6090D,0.02217303620887532,0.001388688376986162
23,bathroom_sharing,0.021165273758050746,0.0011207378954845994
106,occ_30D,0.011664498060693848,0.0009645024022234044
19,review_scores_location,0.010635653270738836,0.0009413716340954772
108,occ_365,0.009946436452911845,0.0010420581903915593
50,amenities_dishwasher,0.008482931862579155,0.0008536433285391375
104,host_duration,0.007696770590697308,0.0010907934271970933
16,review_scores_cleanliness,0.0075165762987252464,0.0006034341984598971
20,review_scores_value,0.006811240687078177,0.0006363940050662604
42,amenities_tv,0.005809535205916763,0.0007443038326623744
105,properties,0.005035291740479466,0.00045700204000838167
14,review_scores_rating,0.004247936761218185,0.0004429536339338784
111,walking_distance,0.004100609540632263,0.0005945814011761322
109,station,0.0030815535558395535,0.000288884512380281
9,minimum_nights_avg_ntm,0.002780320881010234,0.0005151122956091203
10,maximum_nights_avg_ntm,0.0027678392174191524,0.0004439049723453375
8,maximum_nights,0.002583510312371384,0.0004290599082213497
87,amenities_airconditioning,0.0023820040375424154,0.00037552601963709517
7,minimum_nights,0.0020895494173787024,0.00036011488003072974
35,amenities_shampoo,0.0018563074206593866,0.0003945324293246765
49,amenities_coffeemaker,0.001655060230728349,0.0003539407869804772
21,reviews_per_month,0.0013710718957709457,0.0005823306617943098
110,station_dist,0.0013058257715583533,0.0006411979886923903
43,amenities_microwave,0.0012732393144662213,0.000383146820678342
80,amenities_indoorfireplace,0.0012324197139438131,0.00026789121450110847
57,amenities_elevator,0.000933180401621283,0.0002140202688328962
63,amenities_freestreetparking,0.0007870648379334622,0.0002903294007741762
15,review_scores_accuracy,0.0007243795496126016,0.0002166699679473541
11,number_of_reviews,0.0007232247942907244,0.0002833551020100861
12,number_of_reviews_ltm,0.0006758866803925589,0.00018920803207967126
66,amenities_patioorbalcony,0.0006565713274858442,0.00022006850378784677
86,amenities_crib,0.0006239378843124577,0.00018325776727416368
13,number_of_reviews_l30d,0.0005053136783194612,0.00014043774055774285
33,amenities_hairdryer,0.0004619921764825574,0.00021386410527725525
